fips,location,svi_rpl_themes,ep_pov150,ep_uninsur,ep_noveh,ep_age65,centroid_lat,centroid_lon
04013092717,Census Tract 927.17; Maricopa County; Arizona,0.871,42.1,8.6,11.0,5.1,33.534878,-112.211784
04013092718,Census Tract 927.18; Maricopa County; Arizona,0.9052,45.0,23.2,8.2,7.7,33.527615,-112.211368
04013092719,Census Tract 927.19; Maricopa County; Arizona,0.7786,8.6,15.2,6.9,7.6,33.516131,-112.283317
04013092720,Census Tract 927.20; Maricopa County; Arizona,0.7291,18.8,19.6,7.6,5.7,33.532549,-112.286848
04013092721,Census Tract 927.21; Maricopa County; Arizona,0.3555,8.2,9.2,2.6,9.2,33.54718,-112.248554
04013092723,Census Tract 927.23; Maricopa County; Arizona,0.6499,7.9,13.9,4.4,7.7,33.55984,-112.298493
04013092724,Census Tract 927.24; Maricopa County; Arizona,0.8853,30.6,10.6,2.8,21.3,33.561196,-112.280459
04013092801,Census Tract 928.01; Maricopa County; Arizona,0.9965,39.1,29.7,20.7,6.9,33.533937,-112.194282
04013092802,Census Tract 928.02; Maricopa County; Arizona,0.9919,54.8,25.3,5.5,5.9,33.528117,-112.195031
04013092900,Census Tract 929; Maricopa County; Arizona,0.9874,52.1,31.5,12.8,7.3,33.532771,-112.180067
04013093001,Census Tract 930.01; Maricopa County; Arizona,0.9809,56.0,17.4,7.6,10.0,33.533333,-112.161444
04013093002,Census Tract 930.02; Maricopa County; Arizona,0.9925,37.4,20.3,9.3,8.0,33.527395,-112.160989
04013093101,Census Tract 931.01; Maricopa County; Arizona,0.9917,51.2,21.2,9.0,5.4,33.519473,-112.157306
04013093104,Census Tract 931.04; Maricopa County; Arizona,0.9997,42.8,26.8,14.7,5.8,33.512918,-112.170284
04013093105,Census Tract 931.05; Maricopa County; Arizona,0.9776,41.5,25.2,21.7,9.3,33.520413,-112.195557
04013093106,Census Tract 931.06; Maricopa County; Arizona,0.9953,42.9,20.8,7.7,10.4,33.514155,-112.194003
04013093200,Census Tract 932; Maricopa County; Arizona,0.9556,37.3,20.8,1.3,6.2,33.559631,-112.217587
04013103205,Census Tract 1032.05; Maricopa County; Arizona,0.3545,9.3,10.6,1.5,15.3,33.602462,-111.972202
04013103206,Census Tract 1032.06; Maricopa County; Arizona,0.0143,5.4,0.7,1.0,20.6,33.603852,-111.951947
04013103207,Census Tract 1032.07; Maricopa County; Arizona,0.156,5.6,0.9,4.0,21.0,33.603213,-111.936784
04013103208,Census Tract 1032.08; Maricopa County; Arizona,0.2318,11.6,2.6,2.7,40.9,33.594129,-111.98647
04013103209,Census Tract 1032.09; Maricopa County; Arizona,0.2244,7.0,1.8,1.9,33.7,33.590227,-111.968478
04013103210,Census Tract 1032.10; Maricopa County; Arizona,0.6419,19.9,7.0,7.9,23.8,33.604673,-111.988736
04013103211,Census Tract 1032.11; Maricopa County; Arizona,0.0696,8.6,2.7,1.0,17.8,33.617899,-111.988501
04013103212,Census Tract 1032.12; Maricopa County; Arizona,0.1478,7.2,7.1,0.6,20.5,33.618354,-111.969387
04013103214,Census Tract 1032.14; Maricopa County; Arizona,0.0767,10.7,2.7,1.0,19.5,33.617701,-111.953503
04013103215,Census Tract 1032.15; Maricopa County; Arizona,0.1222,7.6,7.1,0.0,19.5,33.63496,-111.986034
04013103216,Census Tract 1032.16; Maricopa County; Arizona,0.3152,8.5,2.5,0.7,16.1,33.634141,-111.969806
